formula,Property Band Gap,Property Band Gap units,Property Band gap,Property Band gap units,Temperature (Property Band gap),Temperature (Property Band gap) units,Property Color,Temperature (Property Color),Temperature (Property Color) units
Li$_{3}$B$_{11}$O$_{18}$,5.5447,eV,,,,,,,
Li$_{2}$B$_{3}$PO$_{8}$,5.402900000000001,eV,,,,,,,
Li$_{4}$Ca$_{2}$Mg(SiN$_{3}$)$_{2}$,3.2799,eV,,,,,,,
Li$_{5}$B(SO$_{4}$)$_{4}$,6.108199999999999,eV,,,,,,,
Li$_{2}$PNO$_{2}$,5.6015,eV,,,,,,,
Li$_{8}$NO$_{3}$,0.0,eV,,,,,,,
Li$_{3}$B(PO$_{4}$)$_{2}$,6.1272,eV,,,,,,,
Li$_{3}$AlSiO$_{5}$,4.7208000000000006,eV,,,,,,,
Li$_{6}$B$_{4}$O$_{9}$,4.8958,eV,,,,,,,
LiB$_{3}$O$_{5}$,6.1396999999999995,eV,,,,,,,
LiBeBO$_{3}$,6.0842,eV,,,,,,,
Li$_{4}$P$_{2}$O$_{7}$,5.581300000000001,eV,,,,,,,
Li$_{8}$PO$_{3}$,0.0,eV,,,,,,,
LiAl(GeO$_{3}$)$_{2}$,3.3829999999999996,eV,,,,,,,
LiCaAlN$_{2}$,2.7797,eV,,,,,,,
Li$_{8}$N$_{3}$O,0.0,eV,,,,,,,
LiCa$_{3}$Si$_{2}$N$_{5}$,2.4392000000000005,eV,,,,,,,
LiLaO$_{2}$,3.7336,eV,,,,,,,
Mg(NO$_{3}$)$_{2}$,3.4662,eV,,,,,,,
LiGe$_{2}$N$_{3}$,2.7630000000000003,eV,,,,,,,
LiB(S$_{2}$O$_{7}$)$_{2}$,5.51,eV,,,,,,,
Ge$_{2}$Mo,0.0,eV,,,,,,,
LiB(SO$_{4}$)$_{2}$,6.3873999999999995,eV,,,,,,,
LiCaAl$_{3}$N$_{4}$,3.0163,eV,,,,,,,
LiCaMgSiN$_{3}$,2.8373999999999997,eV,,,,,,,
LiMg$_{3}$P$_{3}$O$_{11}$,5.3095,eV,,,,,,,
Mg$_{2}$SiO$_{4}$,3.8213999999999997,eV,,,,,,,
Mg$_{2}$SiO$_{4}$,4.457700000000001,eV,,,,,,,
MgSi$_{2}$O$_{5}$,5.011099999999999,eV,,,,,,,
MgSiO$_{3}$,4.5433,eV,,,,,,,
MgSiO$_{3}$,4.5456,eV,,,,,,,
MgSiO$_{3}$,4.558400000000001,eV,,,,,,,
MgS$_{2}$O$_{7}$,5.521100000000001,eV,,,,,,,
MgSiO$_{3}$,4.411099999999999,eV,,,,,,,
MgSiO$_{3}$,4.642100000000001,eV,,,,,,,
MgSiO$_{3}$,4.5985,eV,,,,,,,
Na$_{2}$Al$_{2}$Si$_{3}$O$_{10}$,4.4468,eV,,,,,,,
Na$_{2}$B$_{4}$O$_{7}$,5.4224,eV,,,,,,,
Na$_{2}$Be$_{4}$B$_{4}$O$_{11}$,4.983300000000001,eV,,,,,,,
Na$_{2}$Ge(S$_{2}$O$_{7}$)$_{3}$,4.003,eV,,,,,,,
Na$_{2}$LiB$_{5}$(PO$_{7}$)$_{2}$,5.4471,eV,,,,,,,
Na$_{2}$Mg$_{2}$P$_{3}$NO$_{9}$,5.0785,eV,,,,,,,
Na$_{2}$Si(S$_{2}$O$_{7}$)$_{3}$,5.3318,eV,,,,,,,
Na$_{3}$Zn(BO$_{2}$)$_{5}$,4.222099999999999,eV,,,,,,,
Na$_{3}$Al$_{2}$(PO$_{4}$)$_{3}$,5.2294,eV,,,,,,,
Na$_{4}$Mg$_{3}$P$_{4}$O$_{15}$,4.7301,eV,,,,,,,
Na$_{3}$Li$_{2}$Al(SiO$_{4}$)$_{2}$,4.051,eV,,,,,,,
Na$_{3}$LiP$_{2}$O$_{7}$,4.8511,eV,,,,,,,
Na$_{6}$Si$_{2}$O$_{7}$,3.3129999999999997,eV,,,,,,,
Na$_{2}$SrMg(PO$_{4}$)$_{2}$,5.0055,eV,,,,,,,
Na$_{2}$ZnB$_{6}$O$_{11}$,4.7511,eV,,,,,,,
KNO$_{3}$,2.8988,eV,,,,,,,
Ta$_{5}$Si$_{3}$,0.0,eV,,,,,,,
MgSiO$_{3}$,4.5708,eV,,,,,,,
MnSe,0.0,eV,,,,,,,
Sr$_{4}$S$_{3}$O,2.1146000000000003,eV,,,,,,,
SrMg$_{3}$SiN$_{4}$,2.4132999999999996,eV,,,,,,,
ZrSiO$_{4}$,3.8593,eV,,,,,,,
Na$_{8}$N$_{3}$O,0.0,eV,,,,,,,
Rb$_{8}$NO$_{3}$,0.0,eV,,,,,,,
Sr$_{4}$Li$_{2}$Si$_{4}$N$_{8}$O,2.5722000000000005,eV,,,,,,,
Zn$_{2}$SiO$_{4}$,2.6732,eV,,,,,,,
Rb$_{8}$PO$_{3}$,0.0,eV,,,,,,,
NaGa(GeO$_{3}$)$_{2}$,2.6432,eV,,,,,,,
Y$_{4}$Si$_{2}$S$_{3}$O$_{7}$,2.4610000000000003,eV,,,,,,,
Na$_{5}$B(SO$_{4}$)$_{4}$,5.3015,eV,,,,,,,
SrBe$_{2}$(PO$_{4}$)$_{2}$,5.7435,eV,,,,,,,
SiP$_{2}$O$_{7}$,4.942200000000001,eV,,,,,,,
Zn$_{2}$SiO$_{4}$,2.5427999999999997,eV,,,,,,,
Zn$_{2}$SiO$_{4}$,2.2492,eV,,,,,,,
SrGe$_{2}$(BO$_{4}$)$_{2}$,3.8130999999999995,eV,,,,,,,
Sr$_{2}$Si(S$_{2}$O$_{7}$)$_{4}$,4.9136,eV,,,,,,,
Rb$_{5}$GaO$_{4}$,1.8405,eV,,,,,,,
Y$_{2}$SiP$_{4}$O$_{15}$,5.5755,eV,,,,,,,
RbMgPO$_{4}$,4.490200000000001,eV,,,,,,,
Rb$_{5}$Li$_{6}$(BO$_{2}$)$_{11}$,4.3579,eV,,,,,,,
RbBe$_{2}$B$_{3}$O$_{7}$,4.865,eV,,,,,,,
SrZrO$_{3}$,3.1654,eV,,,,,,,
ZnSiO$_{3}$,3.5902,eV,,,,,,,
NaBe(BO$_{2}$)$_{3}$,5.3609,eV,,,,,,,
Rb$_{8}$N$_{3}$O,0.0,eV,,,,,,,
Zr$_{2}$Ga(PO$_{4}$)$_{3}$,4.186999999999999,eV,,,,,,,
SrLiAl$_{3}$N$_{4}$,2.9731999999999994,eV,,,,,,,
SrGe(PO$_{4}$)$_{2}$,4.0919,eV,,,,,,,
SrMgP$_{3}$N$_{5}$O$_{2}$,4.1352,eV,,,,,,,
Rb$_{2}$Na(NO$_{3}$)$_{3}$,2.9985999999999997,eV,,,,,,,
ZnGeO$_{3}$,1.3775,eV,,,,,,,
RbB$_{3}$O$_{5}$,5.6293999999999995,eV,,,,,,,
RbMgBO$_{3}$,4.3738,eV,,,,,,,
SrMgB$_{2}$O$_{5}$,4.6961,eV,,,,,,,
Zn$_{2}$SiO$_{4}$,2.6045,eV,,,,,,,
Sr$_{3}$BeB$_{6}$O$_{13}$,4.7944,eV,,,,,,,
Na$_{8}$PO$_{3}$,0.0,eV,,,,,,,
Rb$_{2}$Ca$_{2}$(SiO$_{3}$)$_{3}$,4.1345,eV,,,,,,,
Sr$_{3}$Y$_{2}$(BO$_{3}$)$_{4}$,4.5074,eV,,,,,,,
Rb$_{3}$Zn(BO$_{2}$)$_{5}$,4.1752,eV,,,,,,,
Na$_{8}$NO$_{3}$,0.0,eV,,,,,,,
NaLi$_{2}$B(PO$_{4}$)$_{2}$,5.8332999999999995,eV,,,,,,,
Sr$_{2}$LiBeB$_{3}$O$_{8}$,4.7198,eV,,,,,,,
NaLaSiO$_{4}$,4.454600000000001,eV,,,,,,,
Sr$_{3}$Ge$_{2}$(B$_{3}$O$_{8}$)$_{2}$,4.4198,eV,,,,,,,
SrBeB$_{2}$O$_{5}$,5.6873000000000005,eV,,,,,,,
NaB(S$_{2}$O$_{7}$)$_{2}$,5.5222,eV,,,,,,,
RbY(PO$_{3}$)$_{4}$,5.4849,eV,,,,,,,
NaSr(PO$_{3}$)$_{3}$,5.4018,eV,,,,,,,
NaB(SO$_{4}$)$_{2}$,6.0208,eV,,,,,,,
NaAl(SiO$_{3}$)$_{2}$,4.5443999999999996,eV,,,,,,,
Rb$_{4}$B$_{2}$S$_{4}$O$_{17}$,5.153700000000001,eV,,,,,,,
Si(GeN$_{2}$)$_{2}$,1.6596000000000002,eV,,,,,,,
Rb$_{2}$Li$_{5}$(BO$_{2}$)$_{7}$,4.5885,eV,,,,,,,
Li$_{4}$P$_{2}$O$_{7}$,2.8528000000000002,eV,,,,,,,
SrB$_{4}$O$_{7}$,5.1758999999999995,eV,,,,,,,
Y(NO$_{3}$)$_{3}$,3.2704000000000004,eV,,,,,,,
NaCa(PO$_{3}$)$_{3}$,5.4403999999999995,eV,,,,,,,
Np,0.0,eV,,,,,,,
SiGeN$_{2}$O,3.5040999999999998,eV,,,,,,,
Sr$_{2}$Ge(S$_{2}$O$_{7}$)$_{4}$,3.4711000000000003,eV,,,,,,,
Rb$_{2}$Li$_{3}$B(P$_{2}$O$_{7}$)$_{2}$,5.5484,eV,,,,,,,
SrY$_{2}$Si$_{3}$O$_{10}$,4.9315999999999995,eV,,,,,,,
Rb$_{2}$GeB$_{4}$O$_{9}$,4.0842,eV,,,,,,,
Sr$_{5}$(Ga$_{3}$O$_{7}$)$_{2}$,2.9142,eV,,,,,,,
Rb$_{2}$Si(S$_{2}$O$_{7}$)$_{3}$,5.2546,eV,,,,,,,
ZnSiN$_{2}$,3.1948,eV,,,,,,,
Y$_{4}$AlSiNO$_{8}$,3.7659000000000002,eV,,,,,,,
Sr$_{6}$Y$_{2}$Al$_{4}$O$_{15}$,3.9889,eV,,,,,,,
Rb$_{3}$B(SO$_{4}$)$_{3}$,5.1274,eV,,,,,,,
Zn$_{2}$SiO$_{4}$,2.1159000000000003,eV,,,,,,,
Zn$_{2}$SiO$_{4}$,2.2529000000000003,eV,,,,,,,
Sr$_{2}$Ga$_{2}$O$_{5}$,2.9485,eV,,,,,,,
Na$_{7}$Al$_{4}$P$_{9}$O$_{32}$,4.7512,eV,,,,,,,
Sr$_{4}$Li$_{2}$B$_{12}$O$_{23}$,4.6951,eV,,,,,,,
PSN$_{9}$,3.2106,eV,,,,,,,
YBe$_{2}$B$_{5}$O$_{11}$,5.3906,eV,,,,,,,
NaPO$_{3}$,5.1221,eV,,,,,,,
Y(PO$_{3}$)$_{3}$,5.6193,eV,,,,,,,
NiMoP$_{2}$,0.0,eV,,,,,,,
Rb$_{2}$MgSi$_{5}$O$_{12}$,4.7809,eV,,,,,,,
Rb$_{4}$Ge$_{3}$B$_{6}$O$_{17}$,3.8581,eV,,,,,,,
Y$_{3}$Al$_{3}$NiGe$_{2}$,0.0,eV,,,,,,,
Y(PO$_{3}$)$_{3}$,5.8035000000000005,eV,,,,,,,
ScGe$_{2}$,0.0,eV,,,,,,,
YGe$_{2}$,0.0,eV,,,,,,,
LiC$_{12}$,0,eV,,,,,,,
KLiICl,4.3726,eV,,,,,,,
H$_{4}$C,7.912000000000001,eV,,,,,,,
Rb$_{2}$Ge(S$_{2}$O$_{7}$)$_{3}$,3.8051,eV,,,,,,,
Y$_{2}$GeRh$_{3}$,0.0,eV,,,,,,,
CsNaICl,3.6976,eV,,,,,,,
H$_{6}$PbCNCl$_{3}$,3.2759,eV,,,,,,,
Na$_{2}$ZnSe$_{2}$,1.7988,eV,,,,,,,
CsPPb(IF$_{3}$)$_{2}$,2.3911,eV,,,,,,,
CeSe$_{2}$,0.006599999999999717,eV,,,,,,,
IrO$_{3}$,0.12309999999999999,eV,,,,,,,
Sn$_{4}$SF$_{6}$,2.7125,eV,,,,,,,
Cd$_{4}$SF$_{6}$,1.2106,eV,,,,,,,
Cd$_{5}$(S$_{2}$Cl)$_{2}$,1.7019,eV,,,,,,,
Li$_{2}$SiSnS$_{4}$,1.9192999999999998,eV,,,,,,,
P$_{3}$Pd,0.12819999999999965,eV,,,,,,,
Cu$_{2}$Se,0.9271000000000003,eV,,,,,,,
SiO$_{2}$,5.0576,eV,,,,,,,
Ba$_{2}$NbFeO$_{6}$,1.7319999999999998,eV,,,,,,,
Ce(P$_{3}$Os)$_{4}$,0.33750000000000036,eV,,,,,,,
La(P$_{3}$Os)$_{4}$,0.05579999999999963,eV,,,,,,,
Ba$_{2}$Y(CuO$_{2}$)$_{3}$,0.0,eV,,,,,,,
Ce(As$_{3}$Ru)$_{4}$,0.2929000000000004,eV,,,,,,,
Ce(FeAs$_{3}$)$_{4}$,0.38260000000000005,eV,,,,,,,
LiGe$_{2}$(PO$_{4}$)$_{3}$,3.6182,eV,,,,,,,
CdS,1.5151000000000001,eV,,,,,,,
LuO$_{3}$,1.5604,eV,,,,,,,
NaGe$_{2}$(PO$_{4}$)$_{3}$,3.276,eV,,,,,,,
K$_{2}$Sn,0.0,eV,,,,,,,
CsCr$_{5}$S$_{8}$,0.36709999999999976,eV,,,,,,,
VO$_{2}$,0.9384999999999999,eV,,,,,,,
K$_{2}$CuO$_{2}$,0.0,eV,,,,,,,
NbInRu,0,eV,,,,,,,
AlSi,0.0,eV,,,,,,,
IClO$_{3}$,0,eV,,,,,,,
In$_{3}$Sb,0.0,eV,,,,,,,
Ba$_{2}$CuC(NO)$_{2}$,0.0,eV,,,,,,,
TiAgSe$_{2}$,0,eV,,,,,,,
Sr$_{2}$CuC(NO)$_{2}$,0.0,eV,,,,,,,
NiCl,0.0,eV,,,,,,,
YOF,4.9475999999999996,eV,,,,,,,
BaNb$_{2}$(FeO$_{3}$)$_{4}$,2.1656,eV,,,,,,,
K$_{2}$S,2.322,eV,,,,,,,
Pr$_{3}$(NiGe)$_{4}$,0.0,eV,,,,,,,
Na$_{2}$PdS$_{2}$,0.9481000000000002,eV,,,,,,,
NaVS$_{2}$,0.0,eV,,,,,,,
NaVS$_{2}$,0.0,eV,,,,,,,
NaYS$_{2}$,2.2811999999999997,eV,,,,,,,
CeSe$_{2}$,0.29170000000000007,eV,,,,,,,
Ni$_{6}$Cl$_{7}$,0,eV,,,,,,,
AlCu,0.0,eV,,,,,,,
Bi$_{3}$O$_{2}$,0.0,eV,,,,,,,
Ce$_{2}$Cu(NO)$_{2}$,0.0,eV,,,,,,,
CaC$_{4}$,0.13669999999999938,eV,,,,,,,
Sn,0.0,eV,,,,,,,
Ba$_{2}$CuH$_{6}$,0.08579999999999988,eV,,,,,,,
Cu$_{3}$O$_{2}$,0.26809999999999956,eV,,,,,,,
Na$_{2}$H$_{6}$Ir,0.0,eV,,,,,,,
YFe$_{2}$Bi$_{2}$(SeO$_{2}$)$_{2}$,0.0,eV,,,,,,,
BaNb$_{2}$Fe$_{2}$O$_{9}$,1.2317,eV,,,,,,,
FeBiAsO,0.0,eV,,,,,,,
Ba$_{2}$NbFeO$_{6}$,1.6905999999999994,eV,,,,,,,
NbSe$_{2}$,0.0,eV,,,,,,,
CoHCO$_{4}$,0.16670000000000007,eV,,,,,,,
Ba$_{2}$NbFeO$_{6}$,1.3500000000000005,eV,,,,,,,
Ba$_{4}$NbFeO$_{8}$,2.6971,eV,,,,,,,
Nb$_{3}$Si,0.0,eV,,,,,,,
IrO$_{3}$,0,eV,,,,,,,
K$_{3}$V$_{2}$(PO$_{4}$)$_{3}$,1.7942000000000002,eV,,,,,,,
Ho$_{2}$Co$_{17}$,0.0,eV,,,,,,,
LiMnSe$_{2}$,0.0,eV,,,,,,,
Co$_{2}$MoS$_{4}$,0.0,eV,,,,,,,
MgCuO$_{2}$,0.0,eV,,,,,,,
Ba$_{4}$Cu$_{3}$PbO$_{9}$,0.0,eV,,,,,,,
CuS,0.0,eV,,,,,,,
KCuCl$_{3}$,0.0,eV,,,,,,,
Cu$_{4}$O$_{3}$,0.0,eV,,,,,,,
K$_{2}$Cu(ClF)$_{2}$,0.5852999999999999,eV,,,,,,,
NaMnSe$_{2}$,0.0,eV,,,,,,,
Ca$_{2}$BN$_{2}$F,2.9278,eV,,,,,,,
Sr$_{2}$BN$_{2}$F,2.5726,eV,,,,,,,
SiS,0.4776,eV,,,,,,,
AlSb,0,eV,,,,,,,
O$_{2}$,2.319,eV,,,,,,,
MoS$_{2}$,1.6582,eV,,,,,,,
WS$_{2}$,1.6944,eV,,,,,,,
Te$_{2}$W,1.0799,eV,,,,,,,
Te$_{2}$MoWSe$_{2}$,0.7319999999999998,eV,,,,,,,
MoWSe$_{4}$,1.2658,eV,,,,,,,
WSeS,0.8047000000000001,eV,,,,,,,
MoW(SeS)$_{2}$,0.47550000000000014,eV,,,,,,,
TeWS,0.0,eV,,,,,,,
Te$_{2}$MoWS$_{2}$,0.0,eV,,,,,,,
WSe$_{2}$,1.5241,eV,,,,,,,
MoSe$_{2}$,1.4317,eV,,,,,,,
Te$_{2}$Mo,1.0703,eV,,,,,,,
WSe$_{2}$,1.5384,eV,,,,,,,
WS$_{2}$,1.8095,eV,,,,,,,
Te$_{2}$Mo,1.0502,eV,,,,,,,
MoS$_{2}$,1.5510000000000002,eV,,,,,,,
MoSe$_{2}$,1.4247999999999998,eV,,,,,,,
Te$_{4}$MoW,0.9478,eV,,,,,,,
Te$_{2}$W,1.0435,eV,,,,,,,
TeWSe,0.5229999999999999,eV,,,,,,,
Te$_{2}$MoWSe$_{2}$,0.30499999999999994,eV,,,,,,,
TeMoSe,0.46730000000000005,eV,,,,,,,
MoSeS,0.6783,eV,,,,,,,
MoWS$_{4}$,1.3317,eV,,,,,,,
MoW(SeS)$_{2}$,0.9853999999999999,eV,,,,,,,
TeMoS,0.0,eV,,,,,,,
Te$_{2}$MoWS$_{2}$,0.0,eV,,,,,,,
CaGe$_{2}$,0.0,eV,,,,,,,
ScNiP,0.0,eV,,,,,,,
La$_{4}$Al$_{6}$O$_{15}$,4.464499999999999,eV,,,,,,,
Na$_{6}$ZnSe$_{4}$,1.6585999999999999,eV,,,,,,,
Na$_{4}$Zn$_{3}$Se$_{5}$,1.8901000000000001,eV,,,,,,,
Na$_{2}$Zn$_{2}$Se$_{3}$,1.9011,eV,,,,,,,
Na$_{2}$Zn$_{3}$Se$_{4}$,1.7234,eV,,,,,,,
Na$_{2}$Zn$_{2}$Se$_{3}$,2.0923999999999996,eV,,,,,,,
Na$_{2}$ZnSe$_{2}$,2.2401999999999997,eV,,,,,,,
Fe$_{2}$SiS$_{4}$,0.026100000000000456,eV,,,,,,,
Fe$_{2}$SiS$_{4}$,0.01869999999999994,eV,,,,,,,
Na$_{2}$ZnS$_{2}$,2.7619000000000002,eV,,,,,,,
Na$_{2}$Zn$_{3}$S$_{4}$,2.2870999999999997,eV,,,,,,,
Na$_{4}$Zn$_{3}$S$_{5}$,2.4504,eV,,,,,,,
SiPt$_{2}$,0.21189999999999998,eV,,,,,,,
Na$_{2}$Zn$_{3}$S$_{4}$,2.7657,eV,,,,,,,
K$_{2}$Sn$_{3}$O$_{7}$,1.9889999999999999,eV,,,,,,,
Na$_{2}$ZnS$_{2}$,2.6259,eV,,,,,,,
Zr$_{63}$S$_{128}$,0.04300000000000015,eV,,,,,,,
Zr$_{3}$(SiCu)$_{4}$,0.0,eV,,,,,,,
Hf$_{3}$(SiCu)$_{4}$,0.0,eV,,,,,,,
Na$_{2}$PtS$_{2}$,1.1356999999999995,eV,,,,,,,
U$_{2}$CrN$_{3}$,0.0,eV,,,,,,,
DyInCo$_{4}$,0,eV,,,,,,,
YB$_{2}$Rh$_{3}$,0,eV,,,,,,,
YbBi$_{2}$,0,eV,,,,,,,
LuZn$_{2}$,0,eV,,,,,,,
LaScSi,0,eV,,,,,,,
HoCuSn,0,eV,,,,,,,
PrNiSb,0,eV,,,,,,,
LaB$_{2}$Pd$_{2}$C,0.02200000000000024,eV,,,,,,,
TmInCu$_{4}$,0.18900000000000006,eV,,,,,,,
ZrHCl,0,eV,,,,,,,
PrScSi,0,eV,,,,,,,
HoInCo$_{4}$,0,eV,,,,,,,
TbCo$_{2}$B$_{2}$C,0,eV,,,,,,,
PrSbPd,0,eV,,,,,,,
PuB$_{2}$Rh$_{3}$,0,eV,,,,,,,
NpF$_{5}$,0.08419999999999994,eV,,,,,,,
FeNiGe,0,eV,,,,,,,
YSi$_{2}$Ru$_{3}$,0,eV,,,,,,,
CeB$_{2}$Pt$_{2}$C,0,eV,,,,,,,
YbNi$_{4}$Au,0,eV,,,,,,,
ErInNi$_{4}$,0,eV,,,,,,,
TbInPt$_{4}$,0.06630000000000003,eV,,,,,,,
ErAlGe,0,eV,,,,,,,
CeSbPd,0,eV,,,,,,,
HoCu$_{4}$Ag,0.017100000000000115,eV,,,,,,,
YbLi(CuP)$_{2}$,0,eV,,,,,,,
YB$_{2}$Pd$_{2}$C,0,eV,,,,,,,
LuB$_{2}$Ir$_{3}$,0,eV,,,,,,,
ErCu$_{2}$,0,eV,,,,,,,
DyB$_{2}$Ir$_{3}$,0,eV,,,,,,,
HoCu$_{4}$Au,0.06539999999999946,eV,,,,,,,
MnCoSn,0,eV,,,,,,,
ScCoSi,0.016200000000000436,eV,,,,,,,
HoCr$_{2}$Si$_{2}$C,0.03810000000000002,eV,,,,,,,
ThAu$_{2}$,0.0,eV,,,,,,,
BaLiF$_{3}$,6.564299999999999,eV,,,,,,,
ErNi$_{4}$Au,0,eV,,,,,,,
CoNiSb,0,eV,,,,,,,
Be$_{5}$Fe,0,eV,,,,,,,
FeNiSn,0,eV,,,,,,,
GdCu$_{4}$Pd,0.004999999999999893,eV,,,,,,,
NdSi$_{2}$Ru$_{3}$,0,eV,,,,,,,
YbMgCu$_{4}$,0.02909999999999968,eV,,,,,,,
HoInPt$_{4}$,0,eV,,,,,,,
TbCBr,0.016799999999999926,eV,,,,,,,
LuB$_{2}$Rh$_{3}$,0,eV,,,,,,,
ThCoSi,0,eV,,,,,,,
HoB$_{2}$Rh$_{3}$,0,eV,,,,,,,
PrSiAg,0,eV,,,,,,,
PrHSe,1.9171,eV,,,,,,,
ErPt$_{5}$,0,eV,,,,,,,
PuCu$_{2}$,0,eV,,,,,,,
LuInCo$_{4}$,0.0019000000000000128,eV,,,,,,,
ThNi$_{2}$B$_{2}$C,0,eV,,,,,,,
PbS$_{2}$,0.6331999999999995,eV,,,,,,,
ThB$_{2}$Pd$_{2}$C,0.033799999999999386,eV,,,,,,,
UAl$_{2}$Cu$_{3}$,0,eV,,,,,,,
AlNi$_{2}$,0,eV,,,,,,,
TiGaPd,0,eV,,,,,,,
FeCoGe,0,eV,,,,,,,
YbB$_{2}$Rh$_{3}$,0,eV,,,,,,,
ThSiTe,0,eV,,,,,,,
ThSi$_{2}$Ru$_{3}$,0,eV,,,,,,,
LaAg$_{2}$,0,eV,,,,,,,
LiAlPt,0,eV,,,,,,,
LaMn$_{2}$Ni$_{3}$,0,eV,,,,,,,
ErInCo$_{4}$,0,eV,,,,,,,
ReGe$_{2}$,0,eV,,,,,,,
NdB$_{2}$Ir$_{3}$,0,eV,,,,,,,
PrSn$_{2}$,0.040000000000000036,eV,,,,,,,
YCo$_{2}$B$_{2}$C,0,eV,,,,,,,
YbB$_{2}$Ir$_{3}$,0,eV,,,,,,,
TbB$_{2}$Ir$_{3}$,0,eV,,,,,,,
TbSe$_{2}$,0,eV,,,,,,,
EuAsPd,0,eV,,,,,,,
LaSbPd,0,eV,,,,,,,
HoBC,0,eV,,,,,,,
NdNiSb,0,eV,,,,,,,
CeCo$_{2}$B$_{2}$C,0.022400000000000198,eV,,,,,,,
ErZn$_{2}$,0,eV,,,,,,,
ThSiPt,0,eV,,,,,,,
TbGaI,0.1349999999999998,eV,,,,,,,
LiDyO$_{2}$,3.9642999999999997,eV,,,,,,,
LaGe$_{5}$,0,eV,,,,,,,
CeAl$_{3}$Pt$_{2}$,0,eV,,,,,,,
LuAlGe,0,eV,,,,,,,
GdAlGe,0,eV,,,,,,,
DyInPt$_{4}$,0,eV,,,,,,,
CdIBr,2.4508,eV,,,,,,,
TmCu$_{4}$Ag,0,eV,,,,,,,
LaScSi,0,eV,,,,,,,
LuCu$_{2}$,0,eV,,,,,,,
UNi$_{2}$B$_{2}$C,0,eV,,,,,,,
FeCoSn,0,eV,,,,,,,
MgSi$_{2}$,0,eV,,,,,,,
UB$_{2}$Rh$_{2}$C,0,eV,,,,,,,
LaCuPb,0,eV,,,,,,,
TmSnGe,0,eV,,,,,,,
HoCu$_{4}$Pd,0,eV,,,,,,,
EuAl$_{3}$Cu$_{2}$,0,eV,,,,,,,
NpNi$_{5}$,0,eV,,,,,,,
USiSe,0,eV,,,,,,,
DyB$_{2}$Rh$_{3}$,0,eV,,,,,,,
CeGaGe,0,eV,,,,,,,
Ti$_{2}$B,0,eV,,,,,,,
Cu$_{2}$WSe$_{4}$,0.1737000000000002,eV,,,,,,,
Cr$_{2}$NiSe$_{4}$,0,eV,,,,,,,
UTl$_{2}$O$_{4}$,1.5508000000000002,eV,,,,,,,
LuGa$_{5}$Co,0.06289999999999996,eV,,,,,,,
NpB$_{6}$,0,eV,,,,,,,
K$_{2}$PuO$_{4}$,0,eV,,,,,,,
Te$_{4}$Rh$_{3}$,0,eV,,,,,,,
InPPd$_{5}$,0.11630000000000074,eV,,,,,,,
K$_{2}$NpO$_{4}$,0.3700000000000001,eV,,,,,,,
Gd$_{2}$C(NO)$_{2}$,2.6738,eV,,,,,,,
Zr(VGa$_{2}$)$_{2}$,0,eV,,,,,,,
MgAlF$_{5}$,4.7461,eV,,,,,,,
Hf(VGa$_{2}$)$_{2}$,0,eV,,,,,,,
RuF$_{6}$,0.7576,eV,,,,,,,
Ti$_{3}$B$_{4}$,0,eV,,,,,,,
Ho(TiGa$_{2}$)$_{2}$,0,eV,,,,,,,
Ti(MoS$_{2}$)$_{2}$,0,eV,,,,,,,
U$_{2}$Mo$_{2}$C$_{3}$,0,eV,,,,,,,
Lu$_{2}$Cr$_{2}$C$_{3}$,0,eV,,,,,,,
HfGa$_{5}$Ni,0,eV,,,,,,,
Rb$_{2}$CuF$_{4}$,0.27830000000000005,eV,,,,,,,
Rb$_{2}$NpO$_{4}$,0.3748,eV,,,,,,,
Mn(CrSe$_{2}$)$_{2}$,0,eV,,,,,,,
Tm$_{2}$Cr$_{2}$C$_{3}$,0,eV,,,,,,,
V$_{2}$FeSe$_{4}$,0.0012999999999996348,eV,,,,,,,
Ho$_{2}$B$_{4}$C,0,eV,,,,,,,
Cs$_{2}$CaCl$_{4}$,5.0298,eV,,,,,,,
CdPPt$_{5}$,0.1651000000000007,eV,,,,,,,
Tb$_{2}$Re$_{2}$Si$_{2}$C,0,eV,,,,,,,
Co$_{2}$NiSe$_{4}$,0,eV,,,,,,,
ScGa$_{5}$Ni,0.055000000000000604,eV,,,,,,,
Ta$_{4}$C$_{3}$,0,eV,,,,,,,
HfGa$_{5}$Co,0.036399999999999544,eV,,,,,,,
Pr$_{2}$Fe$_{2}$Si$_{2}$C,0,eV,,,,,,,
Nb$_{2}$VSe$_{4}$,0,eV,,,,,,,
NpGa$_{5}$Ni,0.01750000000000007,eV,,,,,,,
Eu$_{2}$TiO$_{4}$,0,eV,,,,,,,
Rb$_{2}$PdCl$_{4}$,1.5933,eV,,,,,,,
Ti$_{2}$VSe$_{4}$,0,eV,,,,,,,
Al$_{2}$FeS$_{4}$,0,eV,,,,,,,
Y$_{2}$Re$_{2}$Si$_{2}$C,0,eV,,,,,,,
Eu$_{2}$AlNO$_{3}$,0,eV,,,,,,,
Ti(CrTe$_{2}$)$_{2}$,0,eV,,,,,,,
Cs$_{2}$PuO$_{4}$,0,eV,,,,,,,
Nd$_{2}$Re$_{2}$Si$_{2}$C,0,eV,,,,,,,
InAsPt$_{5}$,0.062399999999999345,eV,,,,,,,
InPPt$_{5}$,0.33580000000000076,eV,,,,,,,
SiPt$_{5}$Pb,0.0218999999999987,eV,,,,,,,
