formula,Property band_gap,Property band_gap units,Property SMILES
NaC$_{2}$,0.0,eV/atom,
MgCu$_{4}$Sn,0.0,eV/atom,
AgIO$_{3}$,2.4375,eV/atom,
Y$_{2}$WO$_{6}$,3.6851000000000003,eV/atom,
Ni$_{3}$Sn,0.0,eV/atom,
Bi$_{2}$Pt$_{2}$O$_{7}$,0.7881,eV/atom,
NdMg$_{2}$Ag,0.0,eV/atom,
TlGaBr$_{4}$,3.5506,eV/atom,
Ti$_{5}$Se$_{4}$,0.0,eV/atom,
La(CoSi)$_{2}$,0.0,eV/atom,
Ca$_{2}$MnO$_{4}$,0.371,eV/atom,
Se$_{2}$NCl$_{3}$,1.4143,eV/atom,
Na$_{3}$AlP$_{8}$O$_{23}$,5.2445,eV/atom,
CoP$_{2}$H$_{17}$N$_{4}$O$_{9}$,1.1817,eV/atom,
Ca(CuSi)$_{2}$,0.0,eV/atom,
Nd$_{4}$Se$_{3}$O$_{4}$,1.3232999999999997,eV/atom,
KNaPrTaO$_{5}$,3.4550000000000005,eV/atom,
Al$_{4}$Cu$_{9}$,0.0,eV/atom,
Na$_{3}$B$_{5}$H$_{4}$O$_{11}$,4.6917,eV/atom,
LuCuSn,0.0,eV/atom,
VFeO$_{4}$,2.0493,eV/atom,
Mn$_{2}$Sb,0.0,eV/atom,
Pr$_{2}$W$_{2}$O$_{9}$,3.4973,eV/atom,
KCSN,4.1109,eV/atom,
K$_{3}$La(PO$_{4}$)$_{2}$,4.484,eV/atom,
Gd(AlSi)$_{2}$,0.0,eV/atom,
Zr(Fe$_{2}$P)$_{2}$,0.0,eV/atom,
Na$_{2}$Mn$_{3}$Cl$_{8}$,1.9223,eV/atom,
LiErGe,0.0,eV/atom,
Tm(Al$_{2}$Fe)$_{4}$,0.0,eV/atom,
ZnH$_{4}$(CO$_{3}$)$_{2}$,3.1831,eV/atom,[Zn+2].O=C([O-])C(=O)[O-].O.O
YAu,0.0,eV/atom,
Ce$_{5}$C$_{2}$Br$_{9}$,0.0,eV/atom,
Ta$_{2}$Cd(P$_{2}$O$_{7}$)$_{3}$,3.5606999999999998,eV/atom,[Cd+2].[Ta+5].[Ta+5].O=P([O-])([O-])OP(=O)([O-])[O-].O=P([O-])([O-])OP(=O)([O-])[O-].O=P([O-])([O-])OP(=O)([O-])[O-]
C,1.2268,eV/atom,[C]
ZrGaPt,0.0,eV/atom,
CsHgF$_{3}$,0.7228,eV/atom,
YCrO$_{4}$,0.26760000000000006,eV/atom,
AlPO$_{4}$,5.6341,eV/atom,
Zn$_{3}$TeO$_{6}$,1.0627999999999997,eV/atom,
YSi$_{2}$Ru$_{3}$,0.0,eV/atom,
NO,0.5648,eV/atom,
CuH$_{8}$C$_{2}$NCl$_{3}$,0.20359999999999998,eV/atom,
Ti$_{2}$O,0.0,eV/atom,
Al$_{2}$O$_{3}$,5.313199999999999,eV/atom,
Mg$_{3}$P$_{4}$H$_{48}$(NO$_{15}$)$_{2}$,5.400499999999999,eV/atom,
Cr$_{2}$B,0.0,eV/atom,
La$_{5}$Si$_{3}$,0.0,eV/atom,
AlH$_{3}$,3.1866,eV/atom,
SrCu(Si$_{2}$O$_{5}$)$_{2}$,0.8594999999999997,eV/atom,
NaIO$_{3}$,3.6962,eV/atom,
CIF$_{3}$,3.6942,eV/atom,
LiTaGeO$_{5}$,3.7398,eV/atom,
Ti$_{6}$Sn$_{5}$,0.0,eV/atom,
Tl$_{2}$PSe$_{3}$,1.5420999999999996,eV/atom,
YbSe,1.9621,eV/atom,
Cs$_{2}$GeTe$_{4}$,0.5657999999999999,eV/atom,
NbRh,0.0,eV/atom,
AlPt$_{2}$,0.0,eV/atom,
Yb$_{2}$AlB$_{6}$,0.0,eV/atom,
NaH$_{8}$O$_{5}$,3.5073,eV/atom,
RbMoPClO$_{5}$,1.9978,eV/atom,
KErTe$_{2}$,1.3347000000000002,eV/atom,
Nd$_{2}$Fe$_{17}$,0.0,eV/atom,
CuBi$_{5}$PbS$_{9}$,0.5931999999999995,eV/atom,
Tb$_{2}$SnAu$_{2}$,0.0,eV/atom,
KPbO$_{2}$,1.4532000000000003,eV/atom,
YTlPd,0.0,eV/atom,
Rb$_{2}$Cr$_{4}$Cu(HO$_{4}$)$_{4}$,0.7878,eV/atom,
Gd$_{4}$P$_{6}$H$_{16}$O$_{23}$,2.8633,eV/atom,
Sm$_{5}$Ir$_{2}$,0.0,eV/atom,
Pd$_{3}$N,0.0,eV/atom,
MnTe,0.0,eV/atom,
NaSrAlF$_{6}$,6.9765999999999995,eV/atom,
PrIn$_{2}$Pd,0.0,eV/atom,
SmAlO$_{3}$,4.7681,eV/atom,
Rb$_{2}$(ReSe$_{2}$)$_{3}$,1.0461,eV/atom,
Ce(GePt)$_{2}$,0.005600000000000271,eV/atom,
Ce,0.0,eV/atom,
Ni$_{2}$Mo$_{3}$N,0.0,eV/atom,
KPrF$_{4}$,7.1314,eV/atom,
Ba$_{4}$Gd$_{2}$Cd$_{3}$S$_{10}$,1.5844,eV/atom,
U$_{2}$PdS$_{4}$,0.0,eV/atom,
In$_{2}$HgTe$_{4}$,0.5270999999999999,eV/atom,
KPb$_{2}$,0.0,eV/atom,
Ca$_{3}$Al$_{2}$H$_{6}$S(OF)$_{8}$,5.7404,eV/atom,
PbSO$_{4}$,3.8567,eV/atom,
Eu$_{3}$(GaAs$_{2}$)$_{2}$,0.08829999999999982,eV/atom,
GaNi$_{2}$,0.0,eV/atom,
CsI,3.8345000000000002,eV/atom,
LiBe,0.0,eV/atom,
CsK(ClO$_{4}$)$_{2}$,5.5306999999999995,eV/atom,
Ge$_{23}$Mo$_{13}$,0.0,eV/atom,
La$_{3}$Pt$_{4}$,0.0,eV/atom,
ReNF$_{6}$,2.3175999999999997,eV/atom,
SnF$_{2}$,3.2628999999999997,eV/atom,
Ce$_{2}$Zn$_{2}$Cu$_{5}$,0.0,eV/atom,
Co$_{2}$Si,0.0,eV/atom,
SiO$_{2}$,0.0,eV/atom,
K$_{3}$La$_{2}$(NO$_{3}$)$_{9}$,3.466,eV/atom,
CsIn(PO$_{3}$)$_{4}$,4.3152,eV/atom,
Er$_{3}$(CuSn)$_{4}$,0.0,eV/atom,
DyMgSn,0.0,eV/atom,
K$_{9}$Co$_{2}$S$_{7}$,0.0,eV/atom,
TcN,0.0,eV/atom,
Na$_{3}$Li$_{3}$Co$_{2}$F$_{12}$,1.8825999999999998,eV/atom,
BaCdAsF,0.9570000000000003,eV/atom,
Rb$_{2}$FeF$_{5}$,3.693,eV/atom,
HfV$_{2}$O$_{7}$,2.6491,eV/atom,
TmAlSi,0.0,eV/atom,
NaNbS$_{2}$,0.6250999999999998,eV/atom,
V$_{2}$Cd(P$_{2}$O$_{7}$)$_{2}$,1.9543999999999997,eV/atom,
SrH$_{12}$C$_{4}$S$_{4}$(NO$_{4}$)$_{2}$,5.6657,eV/atom,[Sr+2].O=S(=O)([N-]S(=O)(=O)C)C.O=S(=O)([N-]S(=O)(=O)C)C
ZnTe,1.1007000000000002,eV/atom,
K$_{2}$Cd$_{3}$Te$_{4}$,1.438,eV/atom,
AgAs(S$_{8}$F$_{3}$)$_{2}$,2.7366,eV/atom,
CsF,5.2602,eV/atom,
Fe$_{3}$BO$_{5}$,0.9327000000000001,eV/atom,
Sc$_{11}$(AlGe$_{4}$)$_{2}$,0.0,eV/atom,
SrIn$_{3}$,0.0,eV/atom,
ThB$_{4}$,0.0,eV/atom,
EuSnF$_{7}$,0.037800000000000056,eV/atom,
HoCd$_{3}$,0.0,eV/atom,
K$_{2}$Ba(NO$_{2}$)$_{4}$,2.1776999999999997,eV/atom,
CeP$_{3}$H$_{8}$O$_{7}$,0.1740999999999997,eV/atom,
TlCl,2.5179,eV/atom,
LuPO$_{4}$,5.9556000000000004,eV/atom,
TlV$_{3}$(CrS$_{4}$)$_{2}$,0.0,eV/atom,
Er$_{2}$Si$_{3}$Rh,0.0,eV/atom,
Cs$_{2}$ZrCl$_{6}$,3.6365,eV/atom,
CaH$_{2}$(CO$_{2}$)$_{2}$,4.6469,eV/atom,
K$_{3}$Cr(HO)$_{6}$,3.191,eV/atom,
Pd$_{2}$N,0.0,eV/atom,
CeIr$_{3}$,0.0,eV/atom,
BaGdCl$_{5}$,1.9440000000000002,eV/atom,
Tm$_{2}$Cu$_{2}$O$_{5}$,0.30810000000000004,eV/atom,
S$_{2}$N$_{2}$O,1.9159999999999997,eV/atom,
Ag$_{2}$SO$_{3}$,2.2506,eV/atom,
ReSbH$_{4}$O$_{7}$,2.834,eV/atom,
Ba(MnBi)$_{2}$,0.0,eV/atom,
Cr$_{21}$(WC$_{3}$)$_{2}$,0.0,eV/atom,
Er(CrSi)$_{2}$,0.0,eV/atom,
SbSeI,1.3775999999999997,eV/atom,
HfSiSe,0.0,eV/atom,
Dy$_{2}$Si$_{5}$Ni$_{3}$,0.0,eV/atom,
Fe$_{2}$P$_{4}$Pb$_{3}$O$_{16}$,2.4153000000000002,eV/atom,
Ca$_{4}$P$_{2}$O$_{9}$,4.4843,eV/atom,
K$_{2}$MnO$_{4}$,0.43810000000000004,eV/atom,
MnH$_{5}$SO$_{7}$,0.6941,eV/atom,
Rb$_{3}$Al$_{2}$(PO$_{4}$)$_{3}$,4.4173,eV/atom,
Er$_{6}$CoTe$_{2}$,0.0,eV/atom,
SeOF$_{2}$,4.0832999999999995,eV/atom,
Co(IN$_{3}$)$_{2}$,0.0,eV/atom,
Hf$_{4}$FeP,0.0,eV/atom,
SmMn$_{4}$(CuO$_{4}$)$_{3}$,0.0,eV/atom,
TmC$_{2}$,0.0,eV/atom,
H$_{14}$C$_{3}$NF$_{5}$,7.3363,eV/atom,
Sc$_{3}$GaC,0.0,eV/atom,
Ca$_{4}$As$_{2}$O,1.2134999999999998,eV/atom,
Cs$_{2}$Ga$_{2}$B$_{2}$O$_{7}$,3.7986,eV/atom,
YbSn,0.0,eV/atom,
YCoSi$_{2}$,0.0,eV/atom,
Sr$_{2}$Ti$_{2}$Sb$_{2}$OF$_{2}$,0.0,eV/atom,
La$_{2}$Au,0.0,eV/atom,
Hg$_{3}$(NO$_{4}$)$_{2}$,0.8579000000000001,eV/atom,
SrTb$_{2}$O$_{4}$,3.6621999999999995,eV/atom,
MnCo$_{2}$Si,0.0,eV/atom,
NaFeF$_{3}$,3.0099,eV/atom,
Fe$_{2}$GeO$_{4}$,1.4076999999999997,eV/atom,
GaCu$_{2}$,0.0,eV/atom,
Os$_{3}$C$_{8}$SO$_{8}$,1.4818,eV/atom,
KHCO$_{3}$,4.9715,eV/atom,
BaCeI$_{4}$,0.0,eV/atom,
Ba$_{2}$CaReO$_{6}$,0.0,eV/atom,
FeSeCl$_{7}$,1.3206,eV/atom,
CeMgZn$_{2}$,0.0,eV/atom,
Ba$_{2}$CaCr$_{2}$CuF$_{14}$,1.0019,eV/atom,
ZnS,2.027,eV/atom,
TmAg$_{2}$,0.0,eV/atom,
Pr$_{2}$Ta$_{2}$Cl$_{2}$O$_{7}$,3.0505,eV/atom,
Al(SiO$_{3}$)$_{2}$,3.0258000000000003,eV/atom,
RbHo(PO$_{3}$)$_{4}$,5.772500000000001,eV/atom,
K$_{2}$CuCl$_{3}$,2.0520000000000005,eV/atom,
Ag$_{2}$S,0.16080000000000005,eV/atom,
Na$_{2}$LiGaAs$_{2}$,0.6841999999999997,eV/atom,
U$_{3}$Si,0.0,eV/atom,
Ca$_{2}$Ga$_{2}$Si(HO$_{4}$)$_{2}$,3.5111999999999997,eV/atom,
ThCuPO,0.0,eV/atom,
Hg,0.05619999999999999,eV/atom,
Na$_{2}$Be(SiO$_{3}$)$_{2}$,5.055,eV/atom,
Na$_{5}$NbO$_{5}$,2.6402,eV/atom,
Tb(BO$_{2}$)$_{3}$,4.9842,eV/atom,
Ba$_{3}$Tm(BO$_{3}$)$_{3}$,3.8435999999999995,eV/atom,
Ce$_{4}$Ga$_{5}$Br$_{2}$,0,eV/atom,
Na$_{2}$Cd(SO$_{4}$)$_{2}$,3.8287000000000004,eV/atom,
BaH$_{8}$C$_{6}$(N$_{3}$O$_{4}$)$_{2}$,4.5878,eV/atom,
Ce(SiRu)$_{2}$,0.0,eV/atom,
Tl,0.0,eV/atom,
